Code AGB,ingredient_name_fr,ingredient_name_en,co2_per_kg,water_L_per_kg,energy_MJ_per_kg
11172,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",15.164415943478001,3.3601411829999996,700.0
25525,"Pizza, sauce garniture pour",Topping sauce for pizza,1.8803924312619997,2.4688147556,24.4
11214,"""Préparation culinaire à base de soja, type """"crème de soja""""""","""Soy """"cream"""" preparation""",2.3468065080910003,0.42235025060000003,22.4
11084,"Agar (algue), cru","Seaweed, agar, raw",23.573559772846444,4.832336980590001,396.0
20995,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",23.573559772846444,4.832336980590001,396.0
20998,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",23.17136354578145,4.825498841590001,393.0
20988,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",23.17136354578145,4.825498841590001,393.0
20994,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",23.171603325366544,4.826320195690001,393.0
20993,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",23.573559772846444,4.832336980590001,396.0
20992,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",23.17136354578145,4.825498841590001,393.0
20991,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",23.171603325366544,4.826320195690001,393.0
20990,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",23.573559772846444,4.832336980590001,396.0
